col_name,feature_importance_vals
seller_id,1.577202988866235
listing_type_id,1.239000715071593
category_id,0.7592117169753337
available_quantity,0.48068861972459415
sold_quantity,0.2521032594217041
nmp_qty,0.2170718007591219
pic_num_items,0.21630392028000592
pic_max_size,0.17420282516661204
pic_num_sizes,0.12162568159003181
pic_min_size,0.11416897320555618
price,0.10495265926361672
shippingmode,0.08542349486206532
tag_good_qt,0.08196582471655035
nmp_tc,0.0785494792546658
warranty,0.05325347600423172
days_since_update,0.05220173316187843
seller_antiq,0.05076005492732506
nmp_buyer,0.03786886182575375
initial_quantity,0.03293185000368261
nmp_cash,0.028082042565571574
nmp_transf,0.0200669521746314
seller_addresscity_id,0.018722527094714676
seller_addressstate_name,0.016979928096363218
shippingfree_shipping,0.012545338680817662
category_id_cnt,0.010499660074935897
days_elapsed,0.010101049391214964
buying_mode,0.008809756017912113
shippinglocal_pick_up,0.007261917697734455
automatic_relist,0.007016057579319992
seller_id_cnt,0.005884101094427907
video_id,0.005758192043401529
accepts_mercadopago,0.005313870787621856
seller_addressstate_id,0.003699931467178555
nmp_giro_postal,0.0025222128086656954
status,0.0
wknd_hlday_stop_time,0.0
wknd_hlday_start_time,0.0
wknd_hlday_created,0.0
tag_dragg_bv,0.0
currency_id,0.0
